Country Name;Country Code;2020
Aruba;ABW;
Africa Eastern and Southern;AFE;1326,663658
Afghanistan;AFG;508,8084095
Africa Western and Central;AFW;1714,4268
Angola;AGO;1895,770869
Albania;ALB;5215,276752
Andorra;AND;40897,33087
Arab World;ARB;5802,104129
United Arab Emirates;ARE;43103,33629
Argentina;ARG;8441,919439
Armenia;ARM;4267,452119
American Samoa;ASM;11534,56754
Antigua and Barbuda;ATG;14449,99652
Australia;AUS;51812,15404
Austria;AUT;48105,36462
Azerbaijan;AZE;4214,311336
Burundi;BDI;274,0095232
Belgium;BEL;44594,37811
Benin;BEN;1291,040962
Burkina Faso;BFA;830,9251446
Bangladesh;BGD;1968,792225
Bulgaria;BGR;9975,780001
Bahrain;BHR;23443,43483
Bahamas, The;BHS;28607,90138
Bosnia and Herzegovina;BIH;6031,556869
Belarus;BLR;6411,227813
Belize;BLZ;4435,621154
Bermuda;BMU;117098,4463
Bolivia;BOL;3143,045494
Brazil;BRA;6796,844542
Barbados;BRB;15191,16404
Brunei Darussalam;BRN;27466,33964
Bhutan;BTN;3122,376062
Botswana;BWA;6710,990411
Central African Republic;CAF;476,8511127
Canada;CAN;43241,61783
Central Europe and the Baltics;CEB;16082,45771
Switzerland;CHE;86601,55641
Channel Islands;CHI;
Chile;CHL;13231,70421
China;CHN;10500,39562
Cote d'Ivoire;CIV;2325,723705
Cameroon;CMR;1499,372843
Congo, Dem. Rep.;COD;556,8131853
Congo, Rep.;COG;1972,545246
Colombia;COL;5332,773524
Comoros;COM;1402,595489
Cabo Verde;CPV;3064,272388
Costa Rica;CRI;12076,81451
Caribbean small states;CSS;9192,767801
Cuba;CUB;9099,673146
Curacao;CUW;19701,27038
Cayman Islands;CYM;91392,64259
Cyprus;CYP;26623,80089
Czech Republic;CZE;22762,19714
Germany;DEU;45723,6441
Djibouti;DJI;3425,50345
Dominica;DMA;6526,793215
Denmark;DNK;60908,83513
Dominican Republic;DOM;7268,19691
Algeria;DZA;3310,386534
East Asia & Pacific (excluding high income);EAP;8291,745976
Early-demographic dividend;EAR;3254,969411
East Asia & Pacific;EAS;11499,63467
Europe & Central Asia (excluding high income);ECA;7656,593919
Europe & Central Asia;ECS;23780,38847
Ecuador;ECU;5600,389615
Egypt, Arab Rep.;EGY;3547,870848
Euro area;EMU;37712,12083
Eritrea;ERI;
Spain;ESP;27057,16352
Estonia;EST;23312,27633
Ethiopia;ETH;936,3404611
European Union;EUU;33927,7189
Fragile and conflict affected situations;FCS;1864,57941
Finland;FIN;49041,34226
Fiji;FJI;4881,526069
France;FRA;38625,06738
Faroe Islands;FRO;64225,2649
Micronesia, Fed. Sts.;FSM;3585,423202
Gabon;GAB;7005,879097
United Kingdom;GBR;40284,63846
Georgia;GEO;4278,860771
Ghana;GHA;2328,534642
Gibraltar;GIB;
Guinea;GIN;1194,037865
Gambia, The;GMB;787,0064509
Guinea-Bissau;GNB;727,5201717
Equatorial Guinea;GNQ;7143,238705
Greece;GRC;17676,19248
Grenada;GRD;9680,175825
Greenland;GRL;
Guatemala;GTM;4603,339617
Guam;GUM;37723,78134
Guyana;GUY;6955,939217
High income;HIC;43833,93156
Hong Kong SAR, China;HKG;46323,86344
Honduras;HND;2405,732848
Heavily indebted poor countries (HIPC);HPC;973,2718546
Croatia;HRV;13828,4695
Haiti;HTI;1176,75582
Hungary;HUN;15899,14828
IBRD only;IBD;6187,685697
IDA & IBRD total;IBT;4929,861141
IDA total;IDA;1364,157834
IDA blend;IDB;1664,260131
Indonesia;IDN;3869,588427
IDA only;IDX;1219,775623
Isle of Man;IMN;
India;IND;1900,70681
Not classified;INX;
Ireland;IRL;83812,80297
Iran, Islamic Rep.;IRN;2282,551865
Iraq;IRQ;4157,484495
Iceland;ISL;59260,88714
Israel;ISR;43610,52033
Italy;ITA;31676,2021
Jamaica;JAM;4664,52915
Jordan;JOR;4282,765823
Japan;JPN;40113,06097
Kazakhstan;KAZ;9055,745009
Kenya;KEN;1838,209968
Kyrgyz Republic;KGZ;1173,611356
Cambodia;KHM;1512,727753
Kiribati;KIR;1670,824691
St. Kitts and Nevis;KNA;17435,92743
Korea, Rep.;KOR;31489,1227
Kuwait;KWT;32373,25111
Latin America & Caribbean (excluding high income);LAC;6733,112385
Lao PDR;LAO;2630,203774
Lebanon;LBN;4891,00147
Liberia;LBR;583,2717273
Libya;LBY;3699,228621
St. Lucia;LCA;9276,117829
Latin America & Caribbean;LCN;7417,252167
Least developed countries: UN classification;LDC;1068,79814
Low income;LIC;821,8629308
Liechtenstein;LIE;
Sri Lanka;LKA;3682,038425
Lower middle income;LMC;2200,401758
Low & middle income;LMY;4759,244261
Lesotho;LSO;861,0145481
Late-demographic dividend;LTE;9758,448272
Lithuania;LTU;19997,59253
Luxembourg;LUX;115873,6026
Latvia;LVA;17619,95239
Macao SAR, China;MAC;86117,65543
St. Martin (French part);MAF;
Morocco;MAR;3009,24946
Monaco;MCO;190512,7374
Moldova;MDA;4551,130676
Madagascar;MDG;495,4904009
Maldives;MDV;7455,855728
Middle East & North Africa;MEA;6669,90343
Mexico;MEX;8346,702379
Marshall Islands;MHL;4073,10983
Middle income;MIC;5207,289024
North Macedonia;MKD;5888,004015
Mali;MLI;858,9158055
Malta;MLT;27884,64283
Myanmar;MMR;1400,218242
Middle East & North Africa (excluding high income);MNA;3066,225355
Montenegro;MNE;7686,092949
Mongolia;MNG;4007,308885
Northern Mariana Islands;MNP;20659,64029
Mozambique;MOZ;448,6074536
Mauritania;MRT;1672,923535
Mauritius;MUS;8622,675515
Malawi;MWI;625,2941292
Malaysia;MYS;10401,79401
North America;NAC;61453,13406
Namibia;NAM;4211,050929
New Caledonia;NCL;
Niger;NER;565,0613331
Nigeria;NGA;2097,092473
Nicaragua;NIC;1905,256756
Netherlands;NLD;52304,05739
Norway;NOR;67294,47698
Nepal;NPL;1155,142854
Nauru;NRU;10983,22465
New Zealand;NZL;41791,79309
OECD members;OED;37975,91377
Oman;OMN;15343,0435
Other small states;OSS;11821,7459
Pakistan;PAK;1193,733397
Panama;PAN;12269,049
Peru;PER;6126,87454
Philippines;PHL;3298,829851
Palau;PLW;14907,77735
Papua New Guinea;PNG;2636,800249
Poland;POL;15656,18273
Pre-demographic dividend;PRE;1342,482391
Puerto Rico;PRI;32290,92114
Korea, Dem. People's Rep.;PRK;
Portugal;PRT;22439,87687
Paraguay;PRY;4949,7497
West Bank and Gaza;PSE;3239,731108
Pacific island small states;PSS;3626,290589
Post-demographic dividend;PST;44217,89723
French Polynesia;PYF;
Qatar;QAT;50805,46357
Romania;ROU;12896,08862
Russian Federation;RUS;10126,72179
Rwanda;RWA;797,8555543
South Asia;SAS;1804,917623
Saudi Arabia;SAU;20110,31619
Sudan;SDN;595,467833
Senegal;SEN;1487,757309
Singapore;SGP;59797,75218
Solomon Islands;SLB;2258,400365
Sierra Leone;SLE;484,5212675
El Salvador;SLV;3798,636521
San Marino;SMR;47731,20854
Somalia;SOM;309,4154546
Serbia;SRB;7666,244476
Sub-Saharan Africa (excluding high income);SSA;1482,909594
South Sudan;SSD;
Sub-Saharan Africa;SSF;1483,769566
Small states;SST;10864,0078
Sao Tome and Principe;STP;2157,840446
Suriname;SUR;6491,139065
Slovak Republic;SVK;19156,88961
Slovenia;SVN;25179,66717
Sweden;SWE;51925,71376
Eswatini;SWZ;3415,459446
Sint Maarten (Dutch part);SXM;
Seychelles;SYC;11425,09293
Syrian Arab Republic;SYR;
Turks and Caicos Islands;TCA;23879,92665
Chad;TCD;614,4651899
East Asia & Pacific (IDA & IBRD countries);TEA;8378,63094
Europe & Central Asia (IDA & IBRD countries);TEC;8368,476616
Togo;TGO;914,9505826
Thailand;THA;7189,041835
Tajikistan;TJK;859,1379611
Turkmenistan;TKM;7612,03518
Latin America & the Caribbean (IDA & IBRD countries);TLA;7244,555569
Timor-Leste;TLS;1381,17566
Middle East & North Africa (IDA & IBRD countries);TMN;3063,189564
Tonga;TON;4903,012138
South Asia (IDA & IBRD);TSA;1804,917623
Sub-Saharan Africa (IDA & IBRD countries);TSS;1483,769566
Trinidad and Tobago;TTO;15384,03946
Tunisia;TUN;3319,819024
Turkey;TUR;8538,16906
Tuvalu;TUV;4143,109753
Tanzania;TZA;1076,470385
Uganda;UGA;817,0357569
Ukraine;UKR;3726,927149
Upper middle income;UMC;9191,680733
Uruguay;URY;15438,41167
United States;USA;63543,57779
Uzbekistan;UZB;1685,764947
St. Vincent and the Grenadines;VCT;7297,91235
Venezuela, RB;VEN;
British Virgin Islands;VGB;
Virgin Islands (U.S.);VIR;
Vietnam;VNM;2785,724157
Vanuatu;VUT;2782,98434
World;WLD;10925,72785
Samoa;WSM;4067,47263
Kosovo;XKX;4287,200903
Yemen, Rep.;YEM;
South Africa;ZAF;5090,715025
Zambia;ZMB;1050,919283
Zimbabwe;ZWE;1128,210711
